file_name,canonical_method,canonical_variable,policy_domain,target_countries,geopolitical_scope,method_family,policy_actionability_score,policy_recommendation_excerpt
1. Lee & Lee. (2025). An Extended Dataset of Educational Quality Across Countries (1970–2023) 3.pdf,LASSO,Harmonized test scores (Tscore_ML),Resource_Allocation_Equity,JPN;KOR;SGP;USA;DEU;ZAF;QAT;GHA;KHM;SRB;BRA;IDN;FIN,Global,Hybrid_Penalized,2,"Using the harmonized cross-country test-score panel (1970–2023) anchored to the TIMSS 1995 metric, the study leveraged economic and education indicators to predict missing country-year test scores via LASSO regression, finding strong predictive performance (R² ≈ 0.91; RMSE ≈ 17.5 in-sample and ≈ 15.7 out-of-sample)."
10. Aydoğan & Tat. (2025). Investigating the Performance of Artificial Neural Networks in Predicting Affective Responses .pdf,Neural Network,Item3 response (predicted vs actual),Socio-Emotional_Intervention,LBN,Country-Specific,Deep_Learning,3,"Using PISA 2018 (Lebanon) Awacom item responses, the study leveraged Item1, Item2, Item4, Item5, and Item6 responses to predict Item3 responses with an ANN, finding moderate overlap between predicted and actual responses (match ratio ≈ 0.63; Kappa ≈ 0.42) and RMSE around 0.62, while validity/reliability analyses indicated that predicted items still supported the latent construct despite weakening some fit indices."
100. Ulitzsch et al. (2021). Combining Clickstream Analyses And Graph-Modeled Data Clustering For Identifying Common Response Processes.pdf,None,Dominant response processes (cliques of action patterns),Cross-Cutting_Methodological,USA,Country-Specific,Review_or_Methodology,3,"Using PIAAC 2012 PSTRE (US sample) item U01a process data, the study leveraged action-pattern similarity (based on LCS overlap and action-level timing) and then applied cluster edge deletion to identify homogeneous cliques representing dominant response processes, finding that incorporating action-level times increased differentiation (more and smaller cliques) compared with action-only similarity."
101. Tang et al. (2021). An exploratory analysis of the latent structure of process data via action sequence.pdf,Autoencoder,Derived binary variables (including item outcomes),Cross-Cutting_Methodological,Unspecified,Unspecified,Deep_Learning,3,"Using PIAAC 2012 PSTRE process data, the study leveraged autoencoder-derived process features—capturing sequence length/attentiveness and interface-related behavior—to predict derived binary indicators (including item outcomes), finding that the extracted features achieved high out-of-sample prediction accuracy (all >0.80; 35 nearly perfect)."
102. Costa et al. (2021). Improving the Precision of Ability Estimates Using Time-On-Task Variables: Insights From the PISA 2012 Computer-Based Assessment of Mathematics.pdf,None,Student math proficiency (EAP ability estimates),Cross-Cutting_Methodological,SGP;CHN;KOR;HKG;MAC;JPN;TAP;CAN;EST;BEL;DEU;FRA;AUS;AUT;ITA;USA;NOR;SVK;DNK;IRL;SWE;RUS;POL;PRT;SVN;ESP;HUN;ISR;ARE;BRA;COL,Global,Review_or_Methodology,3,"Using PISA 2012 Computer-Based Mathematics the study leveraged response accuracy and time-on-task information (modeled via hierarchical latent-variable speed factors) to estimate student math proficiency, finding that including response times increased measurement precision (higher EAP reliability and lower average standard errors) for nearly all countries, with the largest gain already achieved by the simple-structure hierarchical model (M2) and only modest additional improvement from cross-loadings (M3)."
103. Scherer et al. (2024). The potential of international large‑scale assessments for meta‑analyses in education.pdf,None,Literature synthesis outcome (not student-level prediction),Resource_Allocation_Equity,Unspecified,Unspecified,Review_or_Methodology,2,"Using ILSA literature synthesis (systematic review; no single student-level analytic micro-dataset) the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This methodological review synthesizes four approaches for integrating ILSA data into education meta-analyses: separate meta-analyses, indirect inclusion via Bayesian meta-analysis, one-stage direct inclusion, and two-stage direct inclusion."
104. Jung et al. (2022). Automated Scoring of Constructed- Response Items Using Artificial Neural Networks in International Large-scale Assessment.pdf,Neural Network,SE71054 correctness (human vs ANN),Cross-Cutting_Methodological,USA,Country-Specific,Deep_Learning,3,"Using TIMSS 2019 eTIMSS constructed-response item SE71054 the study leveraged human rater scoring and IRT-expected scoring (used to weight/filter training instances) to predict item correctness with an ANN, finding that automated scores matched human scores very closely (r≈0.93) and that IRT-based weighting/filtering did not materially change performance."
105. Stiff et al. (2023). Research engagement in the Progress in International Reading Literacy Study: A systematic review.pdf,None,Reading Literacy,Socio-Emotional_Intervention,DEU;USA;SWE;ESP;GBR;ZAF;HKG;TUR;COL;TWN;QAT;KWT;KOR;NOR;ISR;CAN;NZL;SGP;BGR;HUN;GRC;ROU;MKD;LVA;LTU;MAC;CHN,Global,Review_or_Methodology,2,"Using PIRLS the study leveraged the reported predictors to predict Reading Literacy, finding that This paper is a systematic review that synthesizes how PIRLS has been used in peer-reviewed research, rather than training or evaluating machine learning models on PIRLS student data."
106. Zhai et al. (2023). Machine learning investigation of optimal psychoemotional well-being factors for students’ reading literacy.pdf,SVM,High vs low reading literacy (binary),Resource_Allocation_Equity;Socio-Emotional_Intervention,CHN,Country-Specific,Traditional_Stats,3,"Using PISA 2018 Reading data for B-S-J-Z (China) students, the study leveraged socioeconomic status (ESCS), learning goals, disciplinary climate, reading engagement stimulation, and parents’ emotional support to predict high vs low reading literacy, finding that the SVM model achieved high classification accuracy (≈0.905 with the optimal 15-feature set; 0.871 on the test set) and that ESCS was the most important feature according to SHAP."
107. Tan et al. (2025). Using machine learning algorithms to predict students’ general self-efficacy in PISA 2018.pdf,XGBoost,General self-efficacy (continuous IRT score),Socio-Emotional_Intervention,MYS;JPN;KAZ;IDN;CHN,Multi-Country,Ensemble_Learning,3,"Using PISA 2018 the study leveraged mastery goal orientation, meaning of life, proud, positive emotions, and learning aspiration to predict students’ general self-efficacy (continuous IRT score), finding that XGBoost outperformed Lasso and achieved test-set R² ≈ 0.467 with low error (RMSE ≈ 9.70, MAE ≈ 7.22)."
